id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Francesca;Spencer;Wava39@yahoo.com;dinner rash;2024-03-08T00:11:04;10571;19007
2;Javon;Murphy;Cloyd_Mertz39@hotmail.com;regularly;2024-03-08T09:49:42;25420;17004
3;Jordi;Osinski;Kayli28@gmail.com;questionably;2024-03-08T05:52:20;14544;13120
4;Sanford;Raynor;Keely11@yahoo.com;virus;2024-03-08T12:50:05;28846;16845
5;Durward;Wuckert;Emerald_Jacobs@gmail.com;gosh supposing which;2024-03-07T19:52:37;8616;24423
6;Modesto;Erdman;Yessenia64@yahoo.com;reluctantly if angrily;2024-03-07T17:07:02;16446;8238
7;Kasey;Jenkins;Lucie_Jacobi85@gmail.com;ack;2024-03-08T00:24:22;24049;1076
8;Linnea;Pouros;Ramon.Medhurst58@yahoo.com;yum;2024-03-07T19:05:40;29521;13976
9;Caterina;O'Hara;Sandrine.Ratke@gmail.com;whose biscuit tradition;2024-03-07T20:41:25;1429;610
10;Jaycee;Hettinger;Alek.Cummerata88@gmail.com;forthright aha;2024-03-08T12:09:18;25948;31515
